Referencia;Descripcion;Familia Padre;Familia;Subfamilia;Stock Fisico;Stock Operativo;Stock Comercial;Mar;Puerto;Despachado
08115;"Aspirador de sólidos y líquidos Conga Rockstar Wet & Dry Steel Pro";"Aspiración y Limpieza";"Aspiradores trineo";"Aspiradores Wet&Dry";0;-50;-50;0;0;0
07307;"Bongo Serie Z+ Off Road";"Movilidad";"Patinetes eléctricos";"Patinetes eléctricos";5;4;4;0;0;0
02578;"TV Cecotec A Series ALU00055S";"Gama Marrón";"Televisores";"Televisores LED";191;191;191;0;0;0
02582;"TV Cecotec A1 series ALU10055S";"Gama Marrón";"Televisores";"Televisores LED";4;4;4;0;0;0
02580;"TV Cecotec V1+ series VQU11055+S";"Gama Marrón";"Televisores";"Televisores QLED";205;205;205;0;0;0
05653;"BigDry 4000 Expert Black Connected";"Cuidado del aire";"Tratamiento del aire";"Deshumidificadores";0;0;0;0;0;0
02221;"Horno Freidora Bake&Fry 2500 Touch";"PAE Cocina";"Hornos eléctricos";"Hornos de sobremesa";0;0;0;0;0;0
02255;"Horno de sobremesa Bake&Toast 1000 White";"PAE Cocina";"Hornos eléctricos";"Hornos freidoras";0;0;0;0;0;0
02254;"Horno Freidora Bake&Fry 3000 Touch";"PAE Cocina";"Hornos eléctricos";"Hornos freidoras";0;0;0;0;0;0
02256;"Horno Freidora Bake&Fry 3000 Touch White";"PAE Cocina";"Hornos eléctricos";"Hornos freidoras";0;0;0;0;0;0
05068;"Aspirador trineo Conga eco extreme 3000";"Pendiente Clasificación";"Pendiente Clasificación";"Pendiente Clasificación";1;1;1;0;0;0
05544;"Aspirador de sólidos y líquidos Conga PopStar 2000 Wet&Dry";"Aspiración y Limpieza";"Aspiradores trineo";"Aspiradores Wet&Dry";0;-2;-2;0;0;0
07455;"Cecotec Colchón Viscoelástico Flow ViscoCare 1900 90x200cm.Multicapa";"Descanso";"Descanso";"Descanso";66;66;66;0;0;54
07463;"Cecotec Colchón Viscoelástico Flow ViscoCare 1900 150x200cm.Multicapa";"Descanso";"Descanso";"Descanso";51;51;51;0;0;0
07464;"Cecotec Colchón Viscoelástico Flow ViscoCare 1900 160x190cm.Multicapa";"Descanso";"Descanso";"Descanso";34;34;34;0;0;32
07601;"Cecotec Colchón Viscoelástico ViscoSense Flow PureVital 4900 Medida 150x200. Multicapa";"Descanso";"Descanso";"Descanso";3;3;3;0;0;23
07484;"Colchón Flow 6900 Hybrid 160x200";"Descanso";"Descanso";"Descanso";13;13;13;0;0;10
07722;"Colchón Flow 8900 Hybrid 90x190";"Descanso";"Descanso";"Descanso";17;17;17;0;0;99
07613;"Colchón Flow 6800 Hybrid 150x200";"Descanso";"Descanso";"Descanso";0;0;0;0;0;0
07734;"Colchón Flow Original 90x190";"Descanso";"Descanso";"Descanso";69;69;69;0;0;0
